t,EEG,S1,S2,S3,ES1,ES2,ES3,,f,TS1,TS2,TS3,PSD
58,-0.052538612715369,0.00666819842069,0.023504640699029,0.05046619870445,-0.000350337894334,-0.0012349012147,-0.00265142406895,,58,0.046125522203895,0.070935737081875,0.064649117077341,0.060570125454371
59,-0.106856846598102,0.006883525170356,0.024061922295217,0.05114922713294,-0.000735551793183,-0.002571181139555,-0.005465645117356,,59,0.035362719754902,0.040021594285877,0.081277011954325,0.052220441998368
60,0.086082542591543,0.007103244359246,0.02462406357683,0.051823980337972,0.000611465335093,0.002119702001629,0.004461139994707,,60,0.039991087946171,0.049267033120827,0.048882284903903,0.046046801990301
61,0.254222983156296,0.007327383956924,0.02519091975194,0.052490035732533,0.001862789408261,0.006404110767789,0.013344173469905,,61,0.066681278307743,0.07249332886916,0.042538659094483,0.060571088757129
62,0.36171161938292,0.007555970745485,0.025762341719204,0.053146971605441,0.002733082414359,0.009318538342349,0.019223877164702,,62,0.114338873900984,0.123166388891698,0.035374253589085,0.090959838793922
63,0.081748031685938,0.007789030291499,0.026338176099085,0.053794367392762,0.000636737895072,0.002153094054298,0.004397583650149,,63,0.093241399705331,0.099963413154882,0.129225125295602,0.107476646051939
64,0.298520599476724,0.008026586918262,0.026918265267866,0.054431803950371,0.002396101538592,0.008035656684637,0.016249014745864,,64,0.161311073801019,0.235207690670646,0.33552657841883,0.244015114296832
65,0.315930985423022,0.008268663678353,0.027502447394486,0.05505886382748,0.002612327064034,0.008688875306885,0.017394801105288,,65,0.317759082927953,0.327476398157244,0.119504656006209,0.254913379030469
66,0.015156922557542,0.008515282326537,0.028090556480176,0.055675131540947,0.000129065474779,0.000425766389168,0.000843863657147,,66,0.227482405502164,0.177066241196699,0.130709429301324,0.178419358666729
67,-0.042785661751408,0.008766463293012,0.028682422400908,0.056280193850176,-0.000375078933211,-0.001227196423056,-0.002407985337377,,67,0.127957100449542,0.016167760160151,0.148341715044162,0.097488858551285
68,-0.013405032614331,0.00902222565704,0.029277870952644,0.056873640032419,-0.000120943229186,-0.000392470814998,-0.00076239299953,,68,0.118299359736591,0.127137899025619,0.073760623691125,0.106399294151112
69,0.105186944621951,0.009282587120952,0.029876723899374,0.057455062158309,0.00097640697744,0.003142641302289,0.006043522441497,,69,0.039032718275698,0.106860879218189,0.165548610133761,0.103814069209216
70,0.03735034181748,0.009547563984578,0.030478799023954,0.058024055367408,0.000356604778348,0.001138393561731,0.002167218301609,,70,0.086848025237067,0.062575285550424,0.048428066702377,0.065950459163289
71,0.12494725038884,0.009817171120087,0.031083910181704,0.0585802181436,0.001226628538052,0.003883849108538,0.007319437184221,,71,0.048152186292197,0.069533465393414,0.031297939803961,0.049661197163191
72,0.322309166978141,0.010091421947281,0.031691867356784,0.059123152590129,0.003252557801453,0.010214579367747,0.019055934060446,,72,0.048852608067851,0.086740805765035,0.090401882265752,0.075331765366213
73,0.216532632416595,0.010370328409343,0.032302476721312,0.059652464704096,0.0022455145095,0.006994540318041,0.012916705212516,,73,0.050712706947116,0.048376269103991,0.041052174129834,0.04671371672698
74,0.070120208828175,0.010653900949067,0.03291554069722,0.060167764650209,0.000747053759383,0.002308044587381,0.004218976221997,,74,0.025246413635992,0.065516144088408,0.065850458397242,0.052204338707214
75,-0.071622517754012,0.010942148485584,0.033530858020824,0.060668667033615,-0.000783704224176,-0.002401564473904,-0.004345242681727,,75,0.051667441515502,0.029573954086955,0.036371205226805,0.039204200276421
76,-0.077458131880057,0.011235078391594,0.034148223810096,0.061154791171598,-0.000870248183739,-0.002645057623352,-0.004736935879667,,76,0.058906852535309,0.04280304068778,0.015207459313986,0.038972450845692
77,-0.264314737337079,0.011532696471136,0.034767429634601,0.061625761363963,-0.003048261638557,-0.009189544031755,-0.016288596928113,,77,0.019332932154402,0.034720934200385,0.065918808128407,0.039990891494398
78,-0.38372779994936,0.011835006937898,0.035388263588099,0.062081207161913,-0.004541421174665,-0.013579460530689,-0.023822285042441,,78,0.049531781070427,0.013041485978547,0.047251481013575,0.036608249354183
79,-0.185268691447932,0.012142012394093,0.036010510363758,0.06252076363522,-0.002249534747798,-0.006671620133466,-0.011583140067023,,79,0.050028369704916,0.04024413624944,0.044961563520104,0.045078023158153
80,0.000324395037317,0.01245371380991,0.036633951331981,0.062944071637497,4.03992295609587E-06,1.18838720093918E-05,2.04187444677034E-05,,80,0.042625910347288,0.043194739515657,0.056943354383908,0.047588001415618
81,-0.055950758991548,0.012770110503569,0.037258364620793,0.063350778069386,-0.000714497375081,-0.002084633779317,-0.003544524115687,,81,0.065313178579852,0.051019176579673,0.037051346695435,0.05112790061832
