t,V
214,0.03859933839346525
215,0.037633989064879664
216,0.036657090661434646
217,0.03566892408905544
218,0.03466977530917209
219,0.03365993521643023
220,0.03263969951366945
221,0.03160936858423608
222,0.03056924736169911
223,0.02951964519703931
224,0.02846087572338345
225,0.027393256718357004
226,0.026317109964130087
227,0.025232761105233214
228,0.024140539504220394
229,0.02304077809525881
230,0.021933813235725536
231,0.02081998455589293
232,0.019699634806785733
233,0.018573109706293847
234,0.017440757783626068
235,0.01630293022219102
236,0.01515998070099252
237,0.01401226523462759
238,0.012860142011976215
239,0.011703971233672781
240,0.010544114948449862
241,0.009380936888445825
242,0.008214802303568289
243,0.007046077795006175
244,0.005875131147983536
245,0.004702331163848894
246,0.003528047491594236
247,0.0023526504588981456
248,0.0011765109027878874
249,1.5496521575156696e-14
250,-0.0011765109027568983
251,-0.0023526504588671686
252,-0.003528047491563279
253,-0.004702331163817965
254,-0.005875131147952644
255,-0.0070460777949753264
256,-0.00821480230353749
257,-0.009380936888415084
258,-0.010544114948419187
259,-0.011703971233642179
260,-0.012860142011945698
261,-0.014012265234597166
262,-0.015159980700962198
263,-0.016302930222160807
264,-0.01744075778359597
265,-0.018573109706263875
266,-0.019699634806755895
267,-0.02081998455586323
268,-0.02193381323569598
269,-0.023040778095229413
270,-0.024140539504191167
271,-0.025232761105204154
272,-0.02631710996410119
273,-0.027393256718328277
274,-0.0284608757233549
275,-0.02951964519701093
276,-0.030569247361670916
277,-0.031609368584208083
278,-0.03263969951364166
279,-0.03365993521640265
280,-0.03466977530914471
281,-0.03566892408902827
282,-0.0366570906614077
283,-0.037633989064852956
284,-0.0385993383934388
285,-0.03955286291623647
